전기,jungi,electricity,전기가 나가서 깜깜하다.,Because the electricity went out it's dark.
장미,jangmi,rose,내 남자 친구가 나에게 장미를 주었다.,My boyfriend got me roses.
산,san,mountain,나는 산으로 등산하는 것을 좋아한다.,I enjoy hiking in the mountains.
섬,sum,island,일본에는 섬들이 많다.,Japan has a lot of islands.
모래,mo-le,sand,바닷가에 모래가 많다.,There is a lot of sand near the beach.
숲,soop,forest,숲속에 나무들이 많다.,There are many trees in the forest.
공원,gong-won,park,내 아이가 공원에 갈꺼야.,My kid is going to the park.
가스,ga-seu,gas,요즘 개스값이 너무 비싸.,Gas is too expensive lately.
자연,ja-yeon,nature,나는 자연속에서 쉴꺼야.,I will take a break in nature.
돼지,doe-ji,pig,나는 돼지를 키운다.,I raise pigs.
